t	y_n	y_a	|y_n-y_a|
0	0	1	1
0.025	0	1.00063	1.00063
0.05	0	1.0025	1.0025
0.075	0	1.00564	1.00564
0.1	0	1.01005	1.01005
0.125	0	1.01575	1.01575
0.15	0	1.02276	1.02276
0.175	0	1.0311	1.0311
0.2	0	1.04081	1.04081
0.225	0	1.05193	1.05193
0.25	0	1.06449	1.06449
0.275	0	1.07856	1.07856
0.3	0	1.09417	1.09417
0.325	0	1.11141	1.11141
0.35	0	1.13032	1.13032
0.375	0	1.15099	1.15099
0.4	0	1.17351	1.17351
0.425	0	1.19797	1.19797
0.45	0	1.22446	1.22446
0.475	0	1.25311	1.25311
0.5	0	1.28403	1.28403
0.525	0	1.31735	1.31735
0.55	0	1.35324	1.35324
0.575	0	1.39184	1.39184
0.6	0	1.43333	1.43333
0.625	0	1.4779	1.4779
0.65	0	1.52577	1.52577
0.675	0	1.57716	1.57716
0.7	0	1.63232	1.63232
0.725	0	1.69152	1.69152
0.75	0	1.75505	1.75505
0.775	0	1.82326	1.82326
0.8	0	1.89648	1.89648
0.825	0	1.97511	1.97511
0.85	0	2.05958	2.05958
0.875	0	2.15034	2.15034
0.9	0	2.24791	2.24791
0.925	0	2.35284	2.35284
0.95	0	2.46576	2.46576
0.975	0	2.58733	2.58733
1	0	2.71828	2.71828
