t	y_n	y_a	|y_n-y_a|
0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00
2.500000e-02	1.000625e+00	1.000625e+00	1.953532e-07
5.000000e-02	1.002503e+00	1.002503e+00	3.922542e-07
7.500000e-02	1.005640e+00	1.005641e+00	5.943862e-07
1.000000e-01	1.010049e+00	1.010050e+00	8.074573e-07
1.250000e-01	1.015747e+00	1.015748e+00	1.039291e-06
1.500000e-01	1.022754e+00	1.022755e+00	1.299954e-06
1.750000e-01	1.031097e+00	1.031099e+00	1.601932e-06
2.000000e-01	1.040809e+00	1.040811e+00	1.960340e-06
2.250000e-01	1.051926e+00	1.051928e+00	2.393185e-06
2.500000e-01	1.064492e+00	1.064494e+00	2.921687e-06
2.750000e-01	1.078554e+00	1.078558e+00	3.570648e-06
3.000000e-01	1.094170e+00	1.094174e+00	4.368894e-06
3.250000e-01	1.111400e+00	1.111405e+00	5.349779e-06
3.500000e-01	1.130313e+00	1.130319e+00	6.551784e-06
3.750000e-01	1.150985e+00	1.150993e+00	8.019196e-06
4.000000e-01	1.173501e+00	1.173511e+00	9.802891e-06
4.250000e-01	1.197954e+00	1.197966e+00	1.196125e-05
4.500000e-01	1.224446e+00	1.224460e+00	1.456117e-05
4.750000e-01	1.253088e+00	1.253106e+00	1.767931e-05
5.000000e-01	1.284004e+00	1.284025e+00	2.140337e-05
5.250000e-01	1.317328e+00	1.317354e+00	2.583376e-05
5.500000e-01	1.353207e+00	1.353238e+00	3.108528e-05
5.750000e-01	1.391800e+00	1.391838e+00	3.728928e-05
6.000000e-01	1.433285e+00	1.433329e+00	4.459592e-05
6.250000e-01	1.477851e+00	1.477904e+00	5.317695e-05
6.500000e-01	1.525708e+00	1.525771e+00	6.322870e-05
6.750000e-01	1.577084e+00	1.577159e+00	7.497573e-05
7.000000e-01	1.632228e+00	1.632316e+00	8.867481e-05
7.250000e-01	1.691411e+00	1.691516e+00	1.046196e-04
7.500000e-01	1.754932e+00	1.755055e+00	1.231460e-04
7.750000e-01	1.823113e+00	1.823258e+00	1.446384e-04
8.000000e-01	1.896311e+00	1.896481e+00	1.695364e-04
8.250000e-01	1.974913e+00	1.975112e+00	1.983434e-04
8.500000e-01	2.059344e+00	2.059576e+00	2.316354e-04
8.750000e-01	2.150068e+00	2.150338e+00	2.700721e-04
9.000000e-01	2.247594e+00	2.247908e+00	3.144092e-04
9.250000e-01	2.352479e+00	2.352844e+00	3.655124e-04
9.500000e-01	2.465335e+00	2.465760e+00	4.243739e-04
9.750000e-01	2.586834e+00	2.587326e+00	4.921312e-04
1.000000e+00	2.717712e+00	2.718282e+00	5.700888e-04
