t	y_n	y_a	|y_n-y_a|
0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00
2.500000e-02	1.000000e+00	1.000625e+00	6.251954e-04
5.000000e-02	1.001250e+00	1.002503e+00	1.253128e-03
7.500000e-02	1.003753e+00	1.005641e+00	1.887725e-03
1.000000e-01	1.007517e+00	1.010050e+00	2.532968e-03
1.250000e-01	1.012555e+00	1.015748e+00	3.192923e-03
1.500000e-01	1.018883e+00	1.022755e+00	3.871782e-03
1.750000e-01	1.026525e+00	1.031099e+00	4.573892e-03
2.000000e-01	1.035507e+00	1.040811e+00	5.303805e-03
2.250000e-01	1.045862e+00	1.051928e+00	6.066307e-03
2.500000e-01	1.057628e+00	1.064494e+00	6.866472e-03
2.750000e-01	1.070848e+00	1.078558e+00	7.709702e-03
3.000000e-01	1.085573e+00	1.094174e+00	8.601782e-03
3.250000e-01	1.101856e+00	1.111405e+00	9.548932e-03
3.500000e-01	1.119761e+00	1.130319e+00	1.055787e-02
3.750000e-01	1.139357e+00	1.150993e+00	1.163587e-02
4.000000e-01	1.160720e+00	1.173511e+00	1.279085e-02
4.250000e-01	1.183934e+00	1.197966e+00	1.403144e-02
4.500000e-01	1.209093e+00	1.224460e+00	1.536706e-02
4.750000e-01	1.236298e+00	1.253106e+00	1.680804e-02
5.000000e-01	1.265660e+00	1.284025e+00	1.836573e-02
5.250000e-01	1.297301e+00	1.317354e+00	2.005259e-02
5.500000e-01	1.331355e+00	1.353238e+00	2.188234e-02
5.750000e-01	1.367968e+00	1.391838e+00	2.387015e-02
6.000000e-01	1.407297e+00	1.433329e+00	2.603274e-02
6.250000e-01	1.449516e+00	1.477904e+00	2.838862e-02
6.500000e-01	1.494813e+00	1.525771e+00	3.095828e-02
6.750000e-01	1.543394e+00	1.577159e+00	3.376444e-02
7.000000e-01	1.595484e+00	1.632316e+00	3.683230e-02
7.250000e-01	1.651326e+00	1.691516e+00	4.018986e-02
7.500000e-01	1.711186e+00	1.755055e+00	4.386824e-02
7.750000e-01	1.775356e+00	1.823258e+00	4.790207e-02
8.000000e-01	1.844151e+00	1.896481e+00	5.232993e-02
8.250000e-01	1.917917e+00	1.975112e+00	5.719481e-02
8.500000e-01	1.997031e+00	2.059576e+00	6.254466e-02
8.750000e-01	2.081905e+00	2.150338e+00	6.843303e-02
9.000000e-01	2.172988e+00	2.247908e+00	7.491977e-02
9.250000e-01	2.270773e+00	2.352844e+00	8.207176e-02
9.500000e-01	2.375796e+00	2.465760e+00	8.996389e-02
9.750000e-01	2.488646e+00	2.587326e+00	9.868000e-02
1.000000e+00	2.609968e+00	2.718282e+00	1.083141e-01
