t	y_n	y_a	|y_n-y_a|
0.0000000e+00	1.0000000e+00	1.0000000e+00	0.0000000e+00
2.5000000e-02	1.0012516e+00	1.0006252e+00	6.2636910e-04
5.0000000e-02	1.0037610e+00	1.0025031e+00	1.2578393e-03
7.5000000e-02	1.0075392e+00	1.0056409e+00	1.8983890e-03
1.0000000e-01	1.0126023e+00	1.0100502e+00	2.5520832e-03
1.2500000e-01	1.0189708e+00	1.0157477e+00	3.2231093e-03
1.5000000e-01	1.0266708e+00	1.0227550e+00	3.9158151e-03
1.7500000e-01	1.0357335e+00	1.0310988e+00	4.6347482e-03
2.0000000e-01	1.0461955e+00	1.0408108e+00	5.3846981e-03
2.2500000e-01	1.0580991e+00	1.0519283e+00	6.1707408e-03
2.5000000e-01	1.0714927e+00	1.0644945e+00	6.9982874e-03
2.7500000e-01	1.0864312e+00	1.0785580e+00	7.8731359e-03
3.0000000e-01	1.1029758e+00	1.0941743e+00	8.8015284e-03
3.2500000e-01	1.1211952e+00	1.1114050e+00	9.7902132e-03
3.5000000e-01	1.1411656e+00	1.1303191e+00	1.0846513e-02
3.7500000e-01	1.1629713e+00	1.1509929e+00	1.1978401e-02
4.0000000e-01	1.1867055e+00	1.1735109e+00	1.3194584e-02
4.2500000e-01	1.2124705e+00	1.1979659e+00	1.4504594e-02
4.5000000e-01	1.2403790e+00	1.2244601e+00	1.5918894e-02
4.7500000e-01	1.2705547e+00	1.2531057e+00	1.7448990e-02
5.0000000e-01	1.3031330e+00	1.2840254e+00	1.9107560e-02
5.2500000e-01	1.3382624e+00	1.3173538e+00	2.0908600e-02
5.5000000e-01	1.3761053e+00	1.3532377e+00	2.2867582e-02
5.7500000e-01	1.4168394e+00	1.3918378e+00	2.5001636e-02
6.0000000e-01	1.4606592e+00	1.4333294e+00	2.7329751e-02
6.2500000e-01	1.5077772e+00	1.4779042e+00	2.9873008e-02
6.5000000e-01	1.5584261e+00	1.5257712e+00	3.2654830e-02
6.7500000e-01	1.6128601e+00	1.5771588e+00	3.5701278e-02
7.0000000e-01	1.6713576e+00	1.6323162e+00	3.9041373e-02
7.2500000e-01	1.7342232e+00	1.6915157e+00	4.2707468e-02
7.5000000e-01	1.8017903e+00	1.7550547e+00	4.6735664e-02
7.7500000e-01	1.8744243e+00	1.8232580e+00	5.1166280e-02
8.0000000e-01	1.9525253e+00	1.8964809e+00	5.6044393e-02
8.2500000e-01	2.0365322e+00	1.9751118e+00	6.1420435e-02
8.5000000e-01	2.1269266e+00	2.0595757e+00	6.7350888e-02
8.7500000e-01	2.2242370e+00	2.1503379e+00	7.3899059e-02
9.0000000e-01	2.3290440e+00	2.2479080e+00	8.1135966e-02
9.2500000e-01	2.4419858e+00	2.3528444e+00	8.9141347e-02
9.5000000e-01	2.5637646e+00	2.4657598e+00	9.8004803e-02
9.7500000e-01	2.6951533e+00	2.5873262e+00	1.0782711e-01
1.0000000e+00	2.8370035e+00	2.7182818e+00	1.1872169e-01
