t	y_n	y_a	|y_n-y_a|
0.0000000e+00	1.0000000e+00	1.0000000e+00	0.0000000e+00
2.5000000e-02	1.0006254e+00	1.0006252e+00	1.9551610e-07
5.0000000e-02	1.0025039e+00	1.0025031e+00	7.8402233e-07
7.5000000e-02	1.0056426e+00	1.0056409e+00	1.7714155e-06
1.0000000e-01	1.0100533e+00	1.0100502e+00	3.1676006e-06
1.2500000e-01	1.0157527e+00	1.0157477e+00	4.9866072e-06
1.5000000e-01	1.0227623e+00	1.0227550e+00	7.2467554e-06
1.7500000e-01	1.0311087e+00	1.0310988e+00	9.9708719e-06
2.0000000e-01	1.0408240e+00	1.0408108e+00	1.3186562e-05
2.2500000e-01	1.0519453e+00	1.0519283e+00	1.6926536e-05
2.5000000e-01	1.0645157e+00	1.0644945e+00	2.1229007e-05
2.7500000e-01	1.0785842e+00	1.0785580e+00	2.6138146e-05
3.0000000e-01	1.0942060e+00	1.0941743e+00	3.1704618e-05
3.2500000e-01	1.1114430e+00	1.1114050e+00	3.7986205e-05
3.5000000e-01	1.1303642e+00	1.1303191e+00	4.5048512e-05
3.7500000e-01	1.1510459e+00	1.1509929e+00	5.2965781e-05
4.0000000e-01	1.1735727e+00	1.1735109e+00	6.1821819e-05
4.2500000e-01	1.1980376e+00	1.1979659e+00	7.1711054e-05
4.5000000e-01	1.2245428e+00	1.2244601e+00	8.2739736e-05
4.7500000e-01	1.2532007e+00	1.2531057e+00	9.5027294e-05
5.0000000e-01	1.2841341e+00	1.2840254e+00	1.0870789e-04
5.2500000e-01	1.3174777e+00	1.3173538e+00	1.2393217e-04
5.5000000e-01	1.3533785e+00	1.3532377e+00	1.4086923e-04
5.7500000e-01	1.3919975e+00	1.3918378e+00	1.5970893e-04
6.0000000e-01	1.4335101e+00	1.4333294e+00	1.8066438e-04
6.2500000e-01	1.4781082e+00	1.4779042e+00	2.0397487e-04
6.5000000e-01	1.5260011e+00	1.5257712e+00	2.2990918e-04
6.7500000e-01	1.5774176e+00	1.5771588e+00	2.5876929e-04
7.0000000e-01	1.6326071e+00	1.6323162e+00	2.9089462e-04
7.2500000e-01	1.6918424e+00	1.6915157e+00	3.2666686e-04
7.5000000e-01	1.7554212e+00	1.7550547e+00	3.6651546e-04
7.7500000e-01	1.8236689e+00	1.8232580e+00	4.1092383e-04
8.0000000e-01	1.8969413e+00	1.8964809e+00	4.6043646e-04
8.2500000e-01	1.9756275e+00	1.9751118e+00	5.1566699e-04
8.5000000e-01	2.0601530e+00	2.0595757e+00	5.7730742e-04
8.7500000e-01	2.1509841e+00	2.1503379e+00	6.4613861e-04
9.0000000e-01	2.2486310e+00	2.2479080e+00	7.2304223e-04
9.2500000e-01	2.3536535e+00	2.3528444e+00	8.0901448e-04
9.5000000e-01	2.4666650e+00	2.4657598e+00	9.0518172e-04
9.7500000e-01	2.5883391e+00	2.5873262e+00	1.0128183e-03
1.0000000e+00	2.7194152e+00	2.7182818e+00	1.1333671e-03
