t	y_n	y_a	|y_n-y_a|
0.0000000e+00	1.0000000e+00	1.0000000e+00	0.0000000e+00
2.5000000e-02	1.0006252e+00	1.0006252e+00	2.0357938e-11
5.0000000e-02	1.0025031e+00	1.0025031e+00	5.7108762e-10
7.5000000e-02	1.0056409e+00	1.0056409e+00	3.1303560e-09
1.0000000e-01	1.0100502e+00	1.0100502e+00	1.0192588e-08
1.2500000e-01	1.0157477e+00	1.0157477e+00	2.5315260e-08
1.5000000e-01	1.0227551e+00	1.0227550e+00	5.3185554e-08
1.7500000e-01	1.0310989e+00	1.0310988e+00	9.9708041e-08
2.0000000e-01	1.0408109e+00	1.0408108e+00	1.7211496e-07
2.2500000e-01	1.0519286e+00	1.0519283e+00	2.7910098e-07
2.5000000e-01	1.0644949e+00	1.0644945e+00	4.3098496e-07
2.7500000e-01	1.0785587e+00	1.0785580e+00	6.3990135e-07
3.0000000e-01	1.0941752e+00	1.0941743e+00	9.2002494e-07
3.2500000e-01	1.1114063e+00	1.1114050e+00	1.2878327e-06
3.5000000e-01	1.1303209e+00	1.1303191e+00	1.7624074e-06
3.7500000e-01	1.1509953e+00	1.1509929e+00	2.3657889e-06
4.0000000e-01	1.1735140e+00	1.1735109e+00	3.1233790e-06
4.2500000e-01	1.1979699e+00	1.1979659e+00	4.0644071e-06
4.5000000e-01	1.2244653e+00	1.2244601e+00	5.2224656e-06
4.7500000e-01	1.2531123e+00	1.2531057e+00	6.6361251e-06
5.0000000e-01	1.2840338e+00	1.2840254e+00	8.3496391e-06
5.2500000e-01	1.3173642e+00	1.3173538e+00	1.0413754e-05
5.5000000e-01	1.3532506e+00	1.3532377e+00	1.2886637e-05
5.7500000e-01	1.3918536e+00	1.3918378e+00	1.5834939e-05
6.0000000e-01	1.4333487e+00	1.4333294e+00	1.9335019e-05
6.2500000e-01	1.4779277e+00	1.4779042e+00	2.3474338e-05
6.5000000e-01	1.5257996e+00	1.5257712e+00	2.8353073e-05
6.7500000e-01	1.5771929e+00	1.5771588e+00	3.4085952e-05
7.0000000e-01	1.6323570e+00	1.6323162e+00	4.0804376e-05
7.2500000e-01	1.6915644e+00	1.6915157e+00	4.8658848e-05
7.5000000e-01	1.7551125e+00	1.7550547e+00	5.7821760e-05
7.7500000e-01	1.8233265e+00	1.8232580e+00	6.8490606e-05
8.0000000e-01	1.8965618e+00	1.8964809e+00	8.0891666e-05
8.2500000e-01	1.9752071e+00	1.9751118e+00	9.5284252e-05
8.5000000e-01	2.0596877e+00	2.0595757e+00	1.1196559e-04
8.7500000e-01	2.1504692e+00	2.1503379e+00	1.3127642e-04
9.0000000e-01	2.2480616e+00	2.2479080e+00	1.5360753e-04
9.2500000e-01	2.3530239e+00	2.3528444e+00	1.7940713e-04
9.5000000e-01	2.4659690e+00	2.4657598e+00	2.0918952e-04
9.7500000e-01	2.5875698e+00	2.5873262e+00	2.4354502e-04
1.0000000e+00	2.7185650e+00	2.7182818e+00	2.8315137e-04
