Method used: EulerSimpleImplicit
t	y_num	y_a	|y_num-y_a|
0.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00
1.00000e-01	3.85453e-01	1.81918e-01	2.03534e-01
2.00000e-01	2.80038e-01	2.05407e-01	7.46306e-02
3.00000e-01	3.18392e-01	2.96073e-01	2.23187e-02
4.00000e-01	3.95441e-01	3.89464e-01	5.97739e-03
5.00000e-01	4.80504e-01	4.79429e-01	1.07452e-03
6.00000e-01	5.64184e-01	5.64643e-01	4.58915e-04
7.00000e-01	6.43204e-01	6.44218e-01	1.01420e-03
8.00000e-01	7.16076e-01	7.17356e-01	1.28055e-03
9.00000e-01	7.81873e-01	7.83327e-01	1.45439e-03
1.00000e+00	8.39880e-01	8.41471e-01	1.59092e-03
1.10000e+00	8.89502e-01	8.91207e-01	1.70505e-03
1.20000e+00	9.30239e-01	9.32039e-01	1.80029e-03
1.30000e+00	9.61681e-01	9.63558e-01	1.87700e-03
1.40000e+00	9.83515e-01	9.85450e-01	1.93481e-03
1.50000e+00	9.95522e-01	9.97495e-01	1.97324e-03
1.60000e+00	9.97582e-01	9.99574e-01	1.99195e-03
1.70000e+00	9.89674e-01	9.91665e-01	1.99074e-03
1.80000e+00	9.71878e-01	9.73848e-01	1.96965e-03
1.90000e+00	9.44371e-01	9.46300e-01	1.92888e-03
2.00000e+00	9.07429e-01	9.09297e-01	1.86883e-03

t	y_num	y_a	|y_num-y_a|
0.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00
5.00000e-02	4.94405e-01	3.36484e-01	1.57921e-01
1.00000e-01	2.97310e-01	1.81918e-01	1.15391e-01
1.50000e-01	2.37132e-01	1.72956e-01	6.41757e-02
2.00000e-01	2.37543e-01	2.05407e-01	3.21356e-02
2.50000e-01	2.64553e-01	2.49334e-01	1.52182e-02
3.00000e-01	3.02987e-01	2.96073e-01	6.91326e-03
3.50000e-01	3.46034e-01	3.43056e-01	2.97815e-03
4.00000e-01	3.90605e-01	3.89464e-01	1.14088e-03
4.50000e-01	4.35260e-01	4.34979e-01	2.80967e-04
5.00000e-01	4.79298e-01	4.79429e-01	1.31239e-04
5.50000e-01	5.22348e-01	5.22688e-01	3.40168e-04
6.00000e-01	5.64186e-01	5.64643e-01	4.57001e-04
6.50000e-01	6.04655e-01	6.05186e-01	5.31838e-04
7.00000e-01	6.43631e-01	6.44218e-01	5.87102e-04
7.50000e-01	6.81006e-01	6.81639e-01	6.32765e-04
8.00000e-01	7.16683e-01	7.17356e-01	6.73226e-04
8.50000e-01	7.50570e-01	7.51280e-01	7.10392e-04
9.00000e-01	7.82582e-01	7.83327e-01	7.45066e-04
9.50000e-01	8.12638e-01	8.13416e-01	7.77558e-04
1.00000e+00	8.40663e-01	8.41471e-01	8.07966e-04
1.05000e+00	8.66587e-01	8.67423e-01	8.36291e-04
1.10000e+00	8.90345e-01	8.91207e-01	8.62497e-04
1.15000e+00	9.11877e-01	9.12764e-01	8.86536e-04
1.20000e+00	9.31131e-01	9.32039e-01	9.08353e-04
1.25000e+00	9.48057e-01	9.48985e-01	9.27897e-04
1.30000e+00	9.62613e-01	9.63558e-01	9.45121e-04
1.35000e+00	9.74763e-01	9.75723e-01	9.59982e-04
1.40000e+00	9.84477e-01	9.85450e-01	9.72443e-04
1.45000e+00	9.91731e-01	9.92713e-01	9.82474e-04
1.50000e+00	9.96505e-01	9.97495e-01	9.90048e-04
1.55000e+00	9.98789e-01	9.99784e-01	9.95149e-04
1.60000e+00	9.98576e-01	9.99574e-01	9.97762e-04
