t	y_num	y_an	|y_num-y_an|
0.00000e+00	1.000000000000000e+00	1.000000000000000e+00	0.00000e+00
1.00000e-01	1.010050166666667e+00	1.010050167084168e+00	4.17501e-10
2.00000e-01	1.040810769768922e+00	1.040810774192388e+00	4.42347e-09
3.00000e-01	1.094174265479975e+00	1.094174283705210e+00	1.82252e-08
4.00000e-01	1.173518429923941e+00	1.173510870991810e+00	7.55893e-06
5.00000e-01	1.284044297334560e+00	1.284025416687741e+00	1.88806e-05
6.00000e-01	1.433364614573804e+00	1.433329414560340e+00	3.52000e-05
7.00000e-01	1.632374743855144e+00	1.632316219955379e+00	5.85239e-05
8.00000e-01	1.896572568522684e+00	1.896480879304951e+00	9.16892e-05
9.00000e-01	2.248046604087546e+00	2.247907986676471e+00	1.38617e-04
1.00000e+00	2.718486352499494e+00	2.718281828459045e+00	2.04524e-04
